Date,Application,Version,Environment,Content
15/11,CTOaaS,0.170,UAT,0.169 to 0.170 https://jira.ship.gov.sg/browse/CTOAAQZASF-1030 https://jira.ship.gov.sg/browse/CTOAAQZASF-1033 https://jira.ship.gov.sg/browse/CTOAAQZASF-1039 https://jira.ship.gov.sg/browse/CTOAAQZASF-944 https://jira.ship.gov.sg/browse/CTOAAQZASF-1022 https://jira.ship.gov.sg/browse/CTOAAQZASF-1015 https://jira.ship.gov.sg/browse/CTOAAQZASF-1016 https://jira.ship.gov.sg/browse/CTOAAQZASF-1009 https://jira.ship.gov.sg/browse/CTOAAQZASF-854 https://jira.ship.gov.sg/browse/CTOAAQZASF-1017 https://jira.ship.gov.sg/browse/CTOAAQZASF-1027 https://jira.ship.gov.sg/browse/CTOAAQZASF-1040
18/11,CTOaaS,0.171,UAT,0.170 to 0.171 https://jira.ship.gov.sg/browse/CTOAAQZASF-1033
19/11,CTOaaS,0.172,UAT,"0.171 to 0.172
https://jira.ship.gov.sg/browse/CTOAAQZASF-1033"
21/11,CTOaaS,0.173,UAT,0.172 to 0.173 https://jira.ship.gov.sg/browse/CTOAAQZASF-1030 https://jira.ship.gov.sg/browse/CTOAAQZASF-1033
21/11,CTOaaS,0.173,PROD,0.169 (deployed on 03/10) to 0.173 https://jira.ship.gov.sg/browse/CTOAAQZASF-1030 https://jira.ship.gov.sg/browse/CTOAAQZASF-1033 https://jira.ship.gov.sg/browse/CTOAAQZASF-1039 https://jira.ship.gov.sg/browse/CTOAAQZASF-944 https://jira.ship.gov.sg/browse/CTOAAQZASF-1022 https://jira.ship.gov.sg/browse/CTOAAQZASF-1015 https://jira.ship.gov.sg/browse/CTOAAQZASF-1016 https://jira.ship.gov.sg/browse/CTOAAQZASF-1009 https://jira.ship.gov.sg/browse/CTOAAQZASF-854 https://jira.ship.gov.sg/browse/CTOAAQZASF-1017 https://jira.ship.gov.sg/browse/CTOAAQZASF-1027 https://jira.ship.gov.sg/browse/CTOAAQZASF-1040
